nombre_restaurante,direccion,region,rating,total_comentarios,categoria 
("Torp Inc","8130 Fair Oaks Plaza",1,2.4,63,1),
("Marquardt-Wisoky","36 Saint Paul Way",4,2.3,74,2),
("Cummings", "Wyman and Russel",2,2,5,3),
("Franecki Group","9086 Dakota Hill",3,4.9,100,2),
("Morar-Hyatt","00004 Leroy Circle",3,2.8,34,2),
("Kuhlman", "Herzog and Fisher",1,2,3,1),
("Kerluke Group","79556 Sauthoff Point",2,4.0,98,2),
("Conn-Bauch","78003 Dixon Court",2,4.8,58,4),
("Jakubowski-Smith","3303 Nelson Center",4,4.5,59,3),
("Rohan-Ratke","23 Spaight Pass",2,1.8,21,5),
("Gleason", "Considine and Flatley",1,3,2,5),
("Satterfield LLC","05 Grover Point",4,1.7,77,3),
("Fisher LLC","61 East Parkway",2,3.7,34,6),
("Johnson LLC","9263 Monument Junction",3,4.6,43,3),
("Hermann and Sons","6 Thompson Center",3,1.7,8,1),
("Will-Shanahan","026 Schurz Road",2,3.6,6,2),
("Mitchell LLC","00 Muir Lane",4,1.7,49,5),
("Goodwin-Botsford","53990 Farragut Junction",1,3.4,43,5),
("Leannon-Kutch","31 Manitowish Lane",1,3.8,46,1),
("Kilback-Dooley","50577 Homewood Avenue",4,3.2,45,2),
("Corkery", "Shields and Schimmel",1,2,4,2),
("Emard"," Marvin and Kutch",1,1,3,6),
("Legros and Sons","01658 Manufacturers Point",3,1.9,22,2),
("Crist and Sons","11 Riverside Alley",2,2.6,59,2),
("Kassulke", "Keeling and Von",1,1,8,5),
("Gulgowski Inc","1901 Gateway Point",2,3.9,65,2),
("Keefe", "Hilpert and Fisher",1,2,3,2),
("Vandervort"," Cassin and Ziemann",1,1,3,2),
("Kautzer Inc","156 Sachtjen Park",3,4.6,28,2),
("Altenwerth LLC","367 Schmedeman Junction",2,2.5,39,6),
("Trantow"," Leuschke and Medhurst",2,1,4,4),
("Lindgren-Swift","228 Forest Run Drive",1,1.4,55,1),
("Carter-Wehner","4146 Pennsylvania Plaza",1,3.2,66,6),
("Bernier"," Wilderman and Dickinson",3,2,5,4),
("Ferry Group","84318 Sommers Hill",4,3.2,60,2),
("Osinski", "Veum and Muller",4,3,58,6),
("Collins", "Bauch and Thompson",1,3,4,3),
("Bauch Inc","00813 Mallard Street",3,1.5,77,4),
("Deckow-Hamill","644 Bowman Circle",2,1.4,89,3);